Case ID,Sample source,Sample type,Interview start time,Interview end time,Language of interview,Would you say things in this country today are...,"Which statement comes closer to your own view, even if neither is exactly right?","In the past 12 months, did you spend any time volunteering for any organization or association?",Would you say you follow what’s going on in government and public affairs…,What is your overall opinion of… Joe Biden,What is your overall opinion of… Kamala Harris
A100001,Probability 1,Probability-based,2021-06-14 18:32:45,2021-06-14 21:30:39,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Most of the time,Very unfavorable,Very unfavorable
A100002,Probability 1,Probability-based,2021-06-14 18:33:55,2021-06-14 18:39:46,English,Off on the wrong track,Most people can be trusted,No,Most of the time,Very unfavorable,Very unfavorable
A100003,Probability 1,Probability-based,2021-06-14 18:34:07,2021-06-14 18:39:10,English,Off on the wrong track,You can’t be too careful in dealing with people,Yes,Some of the time,Very favorable,Mostly favorable
A100004,Probability 1,Probability-based,2021-06-14 18:34:40,2021-06-14 18:50:46,English,Refused,Most people can be trusted,No,Some of the time,Refused,Refused
A100005,Probability 1,Probability-based,2021-06-14 18:40:04,2021-06-14 18:54:44,English,Generally headed in the right direction,Most people can be trusted,Yes,Some of the time,Very favorable,Mostly favorable
A100006,Probability 1,Probability-based,2021-06-14 18:44:54,2021-06-14 18:54:31,English,Off on the wrong track,Most people can be trusted,No,Most of the time,Very unfavorable,Very unfavorable
A100007,Probability 1,Probability-based,2021-06-14 18:48:07,2021-06-14 18:53:16,English,Off on the wrong track,Most people can be trusted,Yes,Most of the time,Mostly favorable,Very favorable
A100008,Probability 1,Probability-based,2021-06-14 18:49:13,2021-06-14 18:58:09,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Most of the time,Very unfavorable,Very unfavorable
A100009,Probability 1,Probability-based,2021-06-14 19:01:14,2021-06-14 19:08:22,English,Off on the wrong track,Most people can be trusted,No,Only now and then,Mostly unfavorable,Refused
A100010,Probability 1,Probability-based,2021-06-14 19:11:03,2021-06-14 19:23:13,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Some of the time,Mostly favorable,Mostly favorable
A100011,Probability 1,Probability-based,2021-06-14 19:12:50,2021-06-14 19:16:20,English,Off on the wrong track,Refused,No,Hardly at all,Very unfavorable,Mostly favorable
A100012,Probability 1,Probability-based,2021-06-14 19:16:54,2021-06-14 19:21:54,English,Generally headed in the right direction,You can’t be too careful in dealing with people,Yes,Some of the time,Very favorable,Very favorable
A100013,Probability 1,Probability-based,2021-06-14 19:21:58,2021-06-14 19:24:51,English,Generally headed in the right direction,Most people can be trusted,No,Only now and then,Mostly favorable,Mostly favorable
A100014,Probability 1,Probability-based,2021-06-14 19:25:51,2021-06-14 19:36:12,English,Off on the wrong track,You can’t be too careful in dealing with people,Yes,Some of the time,Mostly favorable,Mostly favorable
A100015,Probability 1,Probability-based,2021-06-14 19:32:34,2021-06-14 19:43:10,English,Generally headed in the right direction,You can’t be too careful in dealing with people,No,Some of the time,Mostly favorable,Mostly favorable
A100016,Probability 1,Probability-based,2021-06-14 19:35:45,2021-06-14 19:39:53,English,Generally headed in the right direction,You can’t be too careful in dealing with people,No,Hardly at all,Refused,Refused
A100017,Probability 1,Probability-based,2021-06-14 19:37:49,2021-06-14 19:43:29,English,Off on the wrong track,Most people can be trusted,No,Some of the time,Mostly favorable,Mostly favorable
A100018,Probability 1,Probability-based,2021-06-14 19:42:27,2021-06-14 19:56:34,English,Generally headed in the right direction,Most people can be trusted,No,Some of the time,Very favorable,Very favorable
A100019,Probability 1,Probability-based,2021-06-14 19:47:30,2021-06-14 19:57:57,English,Generally headed in the right direction,Most people can be trusted,No,Some of the time,Mostly favorable,Mostly favorable
A100020,Probability 1,Probability-based,2021-06-14 19:56:55,2021-06-14 20:17:18,English,Generally headed in the right direction,You can’t be too careful in dealing with people,No,Some of the time,Very unfavorable,Very unfavorable
A100021,Probability 1,Probability-based,2021-06-14 19:57:29,2021-06-14 20:11:47,English,Generally headed in the right direction,You can’t be too careful in dealing with people,No,Most of the time,Mostly favorable,Mostly favorable
A100022,Probability 1,Probability-based,2021-06-14 20:16:50,2021-06-14 20:23:41,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Hardly at all,Very unfavorable,Very unfavorable
A100023,Probability 1,Probability-based,2021-06-14 20:31:25,2021-06-14 20:35:55,English,Generally headed in the right direction,You can’t be too careful in dealing with people,No,Some of the time,Very favorable,Mostly favorable
A100024,Probability 1,Probability-based,2021-06-14 20:31:38,2021-06-15 08:20:58,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Most of the time,Mostly favorable,Mostly favorable
A100025,Probability 1,Probability-based,2021-06-14 20:31:55,2021-06-14 20:42:00,English,Off on the wrong track,Most people can be trusted,Yes,Some of the time,Mostly favorable,Mostly favorable
A100026,Probability 1,Probability-based,2021-06-14 20:37:30,2021-06-14 20:48:21,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Some of the time,Mostly unfavorable,Very unfavorable
A100027,Probability 1,Probability-based,2021-06-14 20:44:34,2021-06-14 20:58:27,English,Off on the wrong track,Most people can be trusted,Yes,Some of the time,Mostly unfavorable,Mostly unfavorable
A100028,Probability 1,Probability-based,2021-06-14 20:48:48,2021-06-14 20:55:50,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Some of the time,Very unfavorable,Very unfavorable
A100029,Probability 1,Probability-based,2021-06-14 20:52:03,2021-06-14 20:58:49,English,Generally headed in the right direction,You can’t be too careful in dealing with people,Yes,Most of the time,Mostly favorable,Mostly favorable
A100030,Probability 1,Probability-based,2021-06-14 20:59:21,2021-06-18 09:56:11,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Only now and then,Very unfavorable,Very unfavorable
A100031,Probability 1,Probability-based,2021-06-14 21:26:15,2021-06-14 21:32:09,English,Generally headed in the right direction,Most people can be trusted,No,Some of the time,Mostly favorable,Mostly favorable
A100032,Probability 1,Probability-based,2021-06-14 21:34:32,2021-06-14 21:41:52,English,Off on the wrong track,Most people can be trusted,No,Most of the time,Very favorable,Very favorable
A100033,Probability 1,Probability-based,2021-06-14 21:38:56,2021-06-14 21:41:17,English,Generally headed in the right direction,You can’t be too careful in dealing with people,No,Some of the time,Mostly favorable,Mostly favorable
