Unique ID,Interview start time,Interview end time,The device used in the latest access of the survey link,Language of interview,Wave 112 form assignment,Flag to identify non-internet households that were provided a tablet,How often do you discuss government and politics with others?,Would you say you follow the news…,"How much, if at all, do you trust the information you get from… National news organizations","How much, if at all, do you trust the information you get from… Local news organizations","How much, if at all, do you trust the information you get from… Social media sites, such as Facebook, Twitter or YouTube"
100260,2022-07-21 16:33:37,2022-07-21 16:45:15,Laptop/PC,English,Form 2,Non-tablet HH,A few times a month,Some of the time,Not at all,Not too much,Not at all
100314,2022-07-24 10:52:19,2022-07-24 11:06:25,Smartphone,English,Form 2,Non-tablet HH,A few times a month,Some of the time,Not too much,Some,Some
100363,2022-07-21 09:57:40,2022-07-21 10:04:43,Smartphone,English,Form 1,Non-tablet HH,A few times a month,Some of the time,Some,Some,Some
100598,2022-07-20 16:40:55,2022-07-20 16:49:56,Laptop/PC,English,Form 1,Non-tablet HH,A few times a month,Some of the time,Some,Some,Not at all
100637,2022-07-21 20:02:30,2022-07-21 20:10:34,Laptop/PC,English,Form 1,Non-tablet HH,Less often,Some of the time,Not at all,Not at all,Not at all
100803,2022-07-20 21:15:27,2022-07-20 21:28:27,Laptop/PC,English,Form 2,Non-tablet HH,Less often,Only now and then,Not too much,Some,Not at all
101224,2022-07-22 09:55:45,2022-07-22 10:09:07,Smartphone,English,Form 2,Non-tablet HH,Nearly every day,All or most of the time,Not too much,Not too much,Not at all
101437,2022-07-21 01:20:34,2022-07-21 01:39:09,Laptop/PC,English,Form 1,Non-tablet HH,Nearly every day,All or most of the time,Not too much,Some,Not too much
101485,2022-07-24 04:46:39,2022-08-19 12:30:19,Smartphone,English,Form 1,Non-tablet HH,Less often,Some of the time,Not at all,Not at all,Not at all
101493,2022-07-21 00:52:41,2022-07-21 01:09:35,Laptop/PC,English,Form 1,Non-tablet HH,Nearly every day,All or most of the time,Not at all,Not at all,Some
102198,2022-07-26 09:30:02,2022-07-26 10:34:36,Laptop/PC,English,Form 2,Non-tablet HH,A few times a month,Only now and then,Not too much,Not too much,Not too much
103060,2022-07-21 00:39:25,2022-08-06 05:04:15,Laptop/PC,English,Form 1,Non-tablet HH,Nearly every day,Some of the time,Some,Some,Not at all
