Unique ID,Interview start time,Interview end time,The device used in the latest access of the survey link,Language of interview,Where would you place yourself on the following scale?,Where would you place yourself on the following scale? (2),"When you are in a group of people, how often are you the center of attention?",How often do you discuss government and politics with others IN PERSON?, Attended a political rally or campaign event: Please indicate if you have done each of the following activities over the past year.,"Contributed money to a candidate running for public office, or to a political or social cause: Please indicate if you have done each of the following activities over the past year.","Displayed a poster, sign, or bumper-sticker, or wore a piece of clothing or a button in support of a political campaign: Please indicate if you have done each of the following activities over the past year."
100588,2021-05-24 11:20:46,2021-05-24 11:30:08,Smartphone,English,2.0,4.0,Rarely,Less often,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
101400,2021-05-26 23:34:08,2021-05-27 00:04:35,Smartphone,English,4.0,4.0,Sometimes,Nearly every day,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
101437,2021-05-18 16:17:42,2021-05-18 16:35:24,Laptop/PC,English,4.0,3.0,Often,Nearly every day,Refused,"Yes, I have done this in the past year","No, I have not done this in the past year"
101472,2021-05-25 16:23:40,2021-05-25 16:32:03,Laptop/PC,English,2.0,4.0,Rarely,A few times a week,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
101485,2021-05-18 20:37:54,2021-05-18 20:47:56,Smartphone,English,3.0,3.0,Sometimes,A few times a month,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
103094,2021-05-18 14:34:06,2021-05-21 11:49:28,Smartphone,English,3.0,3.0,Rarely,Nearly every day,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
104272,2021-05-21 11:22:11,2021-05-21 12:38:55,Laptop/PC,English,Extroverted,4.0,Often,Less often,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
104491,2021-05-19 10:51:53,2021-05-19 11:10:14,Laptop/PC,English,4.0,4.0,Sometimes,A few times a week,"No, I have not done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
105124,2021-05-18 13:23:27,2021-05-18 13:39:02,Laptop/PC,English,4.0,2.0,Sometimes,A few times a week,"No, I have not done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
105959,2021-05-17 16:58:57,2021-05-17 17:09:36,Laptop/PC,English,2.0,2.0,Sometimes,Less often,"No, I have not done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
106444,2021-05-18 15:44:25,2021-05-18 15:53:27,Smartphone,English,2.0,Accepting of others,Rarely,A few times a week,"No, I have not done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
107329,2021-05-18 15:53:06,2021-05-18 16:01:58,Smartphone,English,4.0,4.0,Rarely,A few times a month,"Yes, I have done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
112715,2021-05-18 13:36:06,2021-05-18 15:28:42,Smartphone,English,3.0,3.0,Sometimes,Nearly every day,"No, I have not done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
113274,2021-05-18 23:23:16,2021-05-18 23:29:56,Smartphone,English,3.0,3.0,Rarely,Less often,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
114058,2021-05-24 11:29:11,2021-05-24 11:38:32,Laptop/PC,English,Extroverted,3.0,Often,A few times a week,"Yes, I have done this in the past year","No, I have not done this in the past year","Yes, I have done this in the past year"
114197,2021-05-19 10:02:37,2021-05-19 10:13:18,Tablet,English,2.0,3.0,Never,A few times a month,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
114940,2021-05-26 22:03:00,2021-05-26 22:13:49,Smartphone,English,4.0,4.0,Rarely,Nearly every day,"Yes, I have done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
115295,2021-05-18 14:04:58,2021-05-18 14:15:51,Laptop/PC,English,4.0,3.0,Never,A few times a month,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
115546,2021-05-18 13:14:03,2021-05-18 13:20:27,Laptop/PC,English,2.0,4.0,Sometimes,A few times a month,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
115568,2021-05-18 13:40:37,2021-05-21 14:30:38,Smartphone,English,3.0,Accepting of others,Sometimes,Nearly every day,"No, I have not done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
115650,2021-05-18 14:38:22,2021-05-18 14:46:32,Laptop/PC,English,3.0,4.0,Sometimes,Less often,"Yes, I have done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
116617,2021-05-18 15:11:07,2021-05-18 15:19:12,Laptop/PC,English,4.0,4.0,Sometimes,A few times a week,"No, I have not done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
117214,2021-05-18 15:31:57,2021-05-18 15:41:11,Laptop/PC,English,Introverted,4.0,Rarely,A few times a week,"No, I have not done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
117395,2021-05-18 13:18:37,2021-05-18 13:31:29,Tablet,English,4.0,3.0,Sometimes,A few times a week,"No, I have not done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
119910,2021-05-28 11:20:11,2021-05-28 13:34:05,Laptop/PC,English,2.0,4.0,Rarely,Less often,"No, I have not done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
121186,2021-05-18 13:38:53,2021-05-18 13:44:37,Laptop/PC,English,3.0,3.0,Rarely,A few times a week,"No, I have not done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
122234,2021-05-24 11:36:57,2021-05-25 15:20:30,Smartphone,English,Extroverted,2.0,Sometimes,A few times a week,"No, I have not done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
122503,2021-05-18 18:55:41,2021-05-18 19:06:31,Smartphone,English,3.0,Refused,Sometimes,A few times a week,"No, I have not done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
123191,2021-05-18 16:33:31,2021-05-18 16:46:59,Laptop/PC,English,3.0,3.0,Sometimes,Less often,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
126131,2021-05-18 16:38:01,2021-05-18 22:16:27,Smartphone,English,2.0,4.0,Rarely,A few times a month,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
128285,2021-05-18 16:55:56,2021-05-18 17:08:52,Smartphone,English,4.0,4.0,Rarely,Less often,"No, I have not done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
132146,2021-05-21 15:19:35,2021-05-21 15:27:58,Laptop/PC,English,2.0,Accepting of others,Never,Less often,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
132973,2021-05-21 16:54:50,2021-05-21 17:03:02,Laptop/PC,English,3.0,Accepting of others,Rarely,Less often,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
133889,2021-05-18 13:10:07,2021-05-18 13:16:36,Laptop/PC,English,2.0,2.0,Rarely,A few times a month,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
135179,2021-05-18 17:18:31,2021-05-18 17:30:53,Smartphone,English,3.0,2.0,Sometimes,A few times a week,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
136999,2021-05-18 21:41:10,2021-05-18 21:48:08,Smartphone,English,3.0,4.0,Rarely,A few times a week,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
137886,2021-05-24 11:20:02,2021-05-26 07:39:45,Smartphone,English,4.0,4.0,Sometimes,Less often,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
140544,2021-05-19 12:37:19,2021-05-19 13:05:30,Smartphone,English,Extroverted,2.0,Sometimes,Nearly every day,"No, I have not done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
142360,2021-05-19 10:41:03,2021-05-19 10:54:27,Laptop/PC,English,4.0,4.0,Sometimes,Less often,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
146062,2021-05-18 20:20:20,2021-05-18 20:34:34,Laptop/PC,English,3.0,4.0,Sometimes,Nearly every day,"No, I have not done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
146637,2021-05-18 15:09:43,2021-05-18 15:14:55,Smartphone,English,Extroverted,Accepting of others,Never,Less often,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
150084,2021-05-22 15:48:52,2021-05-22 16:17:27,Smartphone,English,3.0,3.0,Rarely,A few times a month,"No, I have not done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
150197,2021-05-18 14:02:41,2021-05-18 14:15:39,Laptop/PC,English,3.0,2.0,Rarely,A few times a week,"Yes, I have done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
150381,2021-05-18 14:47:36,2021-05-18 14:58:36,Laptop/PC,English,2.0,3.0,Rarely,Less often,"No, I have not done this in the past year","Yes, I have done this in the past year","No, I have not done this in the past year"
151850,2021-05-26 23:35:38,2021-05-27 00:07:01,Laptop/PC,English,2.0,4.0,Rarely,Less often,Refused,"Yes, I have done this in the past year","No, I have not done this in the past year"
154578,2021-05-24 12:25:47,2021-05-24 12:35:08,Smartphone,English,3.0,2.0,Sometimes,Less often,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
154948,2021-05-17 16:53:33,2021-05-17 17:29:27,Smartphone,English,3.0,3.0,Rarely,A few times a month,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
155900,2021-05-18 15:05:43,2021-05-18 15:20:32,Laptop/PC,English,3.0,4.0,Sometimes,Nearly every day,"Yes, I have done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
156200,2021-05-23 13:32:31,2021-05-23 13:57:07,Smartphone,English,Introverted,3.0,Rarely,A few times a week,"Yes, I have done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
156615,2021-05-17 17:03:21,2021-05-17 17:23:12,Smartphone,English,3.0,2.0,Sometimes,Less often,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
158193,2021-05-21 15:06:50,2021-05-21 15:14:46,Smartphone,English,3.0,4.0,Sometimes,A few times a week,"No, I have not done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
159562,2021-05-18 15:13:35,2021-05-18 15:31:46,Laptop/PC,English,3.0,3.0,Sometimes,A few times a month,"No, I have not done this in the past year","No, I have not done this in the past year","Yes, I have done this in the past year"
160193,2021-05-19 15:29:27,2021-05-19 15:43:58,Smartphone,English,3.0,4.0,Rarely,A few times a month,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
162341,2021-05-18 18:04:58,2021-05-18 18:21:05,Smartphone,English,Introverted,2.0,Rarely,Less often,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
165240,2021-05-20 21:07:16,2021-05-20 21:26:52,Smartphone,English,4.0,3.0,Often,A few times a month,"No, I have not done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
167094,2021-05-18 13:47:19,2021-05-18 13:55:30,Smartphone,English,2.0,3.0,Rarely,A few times a month,"No, I have not done this in the past year","No, I have not done this in the past year","Yes, I have done this in the past year"
172231,2021-05-20 08:25:34,2021-05-20 08:50:45,Smartphone,English,4.0,4.0,Sometimes,A few times a week,"No, I have not done this in the past year","No, I have not done this in the past year","No, I have not done this in the past year"
177818,2021-05-18 14:27:04,2021-05-18 14:35:14,Smartphone,English,4.0,3.0,Sometimes,A few times a week,"Yes, I have done this in the past year","Yes, I have done this in the past year","Yes, I have done this in the past year"
